Job Title,Job Experience Required,Key Skills,Role Category,Location,Functional Area,Industry,Role,Longitude,Latitude,sal,Job Title_count,Job Experience Required_count,Key Skills_count,Role Category_count,Location_count,Functional Area_count,Industry_count,Role_count
16,7,16,11.0,10,2,8,14.0,77.3105561,28.4031478,6622,1,38,3,9.0,1,10,10,4.0
17,12,17,12.0,0,9,1,15.0,72.8773928,19.0759899,5324,1,7,1,18.0,58,23,187,4.0
18,7,18,4.0,11,7,9,11.0,72.5797068,23.0216238,6891,2,38,1,130.0,20,6,4,96.0
19,13,19,4.0,3,3,1,11.0,78.4740613,17.360589,6493,1,17,1,130.0,37,119,187,96.0
20,12,20,13.0,12,10,10,16.0,,,5623,1,7,1,3.0,1,8,7,3.0
21,14,21,1.0,13,1,1,17.0,77.1212148,28.6882438,1564,1,7,1,35.0,15,74,187,35.0
22,1,22,1.0,7,1,1,17.0,77.2219388,28.6517178,5439,1,32,1,35.0,2,74,187,35.0
23,1,23,14.0,3,4,11,18.0,78.4740613,17.360589,5434,1,32,1,3.0,37,7,7,3.0
24,15,24,4.0,5,11,1,11.0,77.590082,12.9767936,4114,1,5,1,130.0,71,9,187,96.0
25,16,25,4.0,5,3,1,11.0,77.590082,12.9767936,4897,1,10,1,130.0,71,119,187,96.0
26,17,26,4.0,9,3,12,19.0,80.270186,13.0836939,4626,1,22,1,130.0,16,119,2,6.0
27,18,27,1.0,14,1,13,20.0,76.770421,30.3843674,1724,1,10,1,35.0,1,74,3,2.0
28,16,28,4.0,9,3,1,11.0,80.270186,13.0836939,4562,1,10,1,130.0,16,119,187,96.0
29,0,29,3.0,15,12,1,21.0,77.00270015,28.42826235,5425,1,26,1,15.0,2,6,187,3.0
30,19,30,15.0,3,3,1,22.0,78.4740613,17.360589,5286,1,6,1,5.0,37,119,187,5.0
31,17,31,10.0,16,13,14,23.0,77.2219388,28.6517178,2948,1,22,16,26.0,12,12,17,3.0
32,15,32,4.0,3,3,1,11.0,78.4740613,17.360589,5198,1,5,1,130.0,37,119,187,96.0
33,7,33,4.0,17,3,1,24.0,77.3271074,28.5707841,4494,1,38,1,130.0,22,119,187,1.0
34,20,31,4.0,5,3,2,11.0,77.590082,12.9767936,4689,1,10,16,130.0,71,119,42,96.0
35,1,34,16.0,0,14,4,25.0,72.8773928,19.0759899,3815,1,32,1,4.0,58,8,3,2.0
36,21,35,12.0,0,9,15,26.0,72.8773928,19.0759899,3252,1,7,1,18.0,58,23,2,14.0
37,13,36,6.0,18,5,1,27.0,88.35769124,22.5414185,3087,1,17,1,43.0,32,57,187,33.0
38,22,37,17.0,5,15,1,28.0,77.590082,12.9767936,1965,1,5,1,3.0,71,4,187,1.0
39,23,38,4.0,0,12,1,6.0,72.8773928,19.0759899,3883,1,2,1,130.0,58,6,187,7.0
40,24,39,4.0,19,3,6,11.0,77.6370384,13.023331,5273,1,1,1,130.0,1,119,10,96.0
41,15,40,10.0,4,8,7,13.0,73.8544541,18.521428,4087,3,5,1,26.0,45,19,5,20.0
42,13,41,5.0,17,1,1,17.0,77.3271074,28.5707841,4615,1,17,1,10.0,22,74,187,35.0
43,25,42,6.0,20,5,5,27.0,77.00270015,28.42826235,6666,1,9,1,43.0,3,57,26,33.0
44,20,43,1.0,0,1,16,29.0,72.8773928,19.0759899,6397,1,10,1,35.0,58,74,8,1.0
45,26,44,18.0,21,1,17,30.0,77.0222524,28.5061017,3009,1,9,1,22.0,1,74,18,1.0
46,0,45,4.0,0,11,1,11.0,72.8773928,19.0759899,4707,1,26,1,130.0,58,9,187,96.0
47,11,46,4.0,17,3,1,11.0,77.3271074,28.5707841,6928,1,15,1,130.0,22,119,187,96.0
48,27,47,6.0,2,5,14,27.0,77.00270015,28.42826235,2117,1,6,1,43.0,38,57,17,33.0
49,1,48,4.0,5,3,1,11.0,77.590082,12.9767936,2293,1,32,1,130.0,71,119,187,96.0
50,25,49,6.0,11,5,5,27.0,72.5797068,23.0216238,6757,1,9,1,43.0,20,57,26,33.0
51,1,50,4.0,22,16,1,11.0,76.7797143,30.7334421,3523,1,32,1,130.0,1,2,187,96.0
52,28,51,19.0,23,5,5,31.0,77.5645232,13.0149021,3759,1,4,1,4.0,1,57,26,2.0
53,22,52,10.0,13,8,18,13.0,77.1212148,28.6882438,5898,1,5,1,26.0,15,19,2,20.0
54,29,53,20.0,24,17,19,32.0,77.6370384,13.023331,3515,1,22,1,4.0,1,5,8,4.0
55,30,54,1.0,0,1,20,17.0,72.8773928,19.0759899,6136,1,1,1,35.0,58,74,1,35.0
56,8,55,4.0,5,3,17,11.0,77.590082,12.9767936,4176,1,21,1,130.0,71,119,18,96.0
57,31,31,8.0,5,5,2,33.0,77.590082,12.9767936,2074,1,18,16,2.0,71,57,42,1.0
58,32,56,10.0,3,18,21,34.0,78.4740613,17.360589,2994,1,1,1,26.0,37,2,10,1.0
59,1,57,3.0,0,11,1,35.0,72.8773928,19.0759899,1528,1,32,1,15.0,58,9,187,2.0
60,25,58,21.0,2,19,8,36.0,77.00270015,28.42826235,6377,1,9,1,15.0,38,21,10,3.0
61,0,59,4.0,5,3,22,11.0,77.590082,12.9767936,4462,1,26,1,130.0,71,119,4,96.0
62,5,31,0.0,5,0,22,37.0,77.590082,12.9767936,2096,2,4,16,3.0,71,13,4,3.0
63,18,60,18.0,13,1,3,38.0,77.1212148,28.6882438,6305,1,10,1,22.0,15,74,12,7.0
64,1,61,22.0,5,20,23,39.0,77.590082,12.9767936,3408,1,32,1,1.0,71,1,1,1.0
65,8,62,6.0,25,5,5,27.0,,,2230,1,21,1,43.0,1,57,26,33.0
66,4,63,1.0,2,1,2,17.0,77.00270015,28.42826235,2856,1,10,1,35.0,38,74,42,35.0
67,33,64,21.0,3,19,1,36.0,78.4740613,17.360589,5736,1,18,1,15.0,37,21,187,3.0
68,16,65,23.0,26,1,17,17.0,121.0977529,14.6719732,3637,1,10,1,14.0,2,74,18,35.0
69,34,66,24.0,17,21,5,40.0,77.3271074,28.5707841,2577,1,9,1,6.0,22,6,26,1.0
70,35,67,4.0,2,22,2,11.0,77.00270015,28.42826235,4436,1,2,1,130.0,38,4,42,96.0
71,36,68,4.0,5,3,1,5.0,77.590082,12.9767936,3679,1,10,1,130.0,71,119,187,3.0
72,37,69,4.0,17,3,16,11.0,77.3271074,28.5707841,5975,2,9,1,130.0,22,119,8,96.0
73,8,70,4.0,5,23,1,11.0,77.590082,12.9767936,3935,1,21,1,130.0,71,5,187,96.0
